Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
4602,"
    Plymouth University
    ","Geography, Environmental Studies and Archaeology","
    ITSO smart ticketing throughout South West England
    ","
    A key element of the Plymouth Centre for Sustainable Transport's
        (CST) work since 2007 has been leadership of a major project to
      introduce and roll out smart card ticketing technology across South West
      England. Such technology brings significant sustainability benefits, but
      is extremely difficult to deploy in the UK's deregulated public transport
      operating environment. Professor Jon Shaw and Dr Andrew
        Seedhouse created with colleagues South West Smart Applications Ltd
      (SWSAL), a region-wide public / private not-for-profit company launched by
      Transport Minister Norman Baker in October 2010. The company is supporting
      the delivery of new smartcard ticket machines on all registered local
      buses in the South West. This has delivered significant improvements to
      public transport service delivery, ____shaped the roll-out of government
      transport policy and produced direct stimulus for the development of new
      public transport ticketing products and practices.
    "
4607,"
    University of Kent
    ",Social Work and Social Policy,"
    Million-pound donors: shaping policy and professional practice in
      philanthropy and fundraising from high net worth individuals
    ","
    This research into rich donors in the UK ____has impacted on the policies of
      both governmental and non-governmental bodies. Government policy shapes
      and incentivises philanthropic behaviour (e.g. through tax incentives),
      whilst charity sector bodies influence philanthropic norms and build
      trust: both have used this research to guide their policy and practice.
      Examples include the influence of the research on the content of the UK
      Government's Giving
          White Paper (2011); the decision to abandon the proposed cap
      on charity tax relief (2012 Budget); and the work of bodies who promote
      fundraising and philanthropy, for example, the Institute of Fundraising,
      Philanthropy UK and Charities Aid Foundation (CAF).
    "
4608,"
    University of Kent
    ",Social Work and Social Policy,"
    Improving outcomes of social care services: the impact of ASCOT
    ","
    This research improved policy-makers' and practitioners' understanding of
      well-being among residents of social care facilities by identifying the
      factors contributing to residents' quality of life. This research resulted
      in the development of the Adult Social Care Outcomes Toolkit (ASCOT),
      whose use is rapidly increasing both in the UK and internationally.
      Evidence from beneficiaries including policy-makers, experts and service
      practitioners, as well as interviews with service users, indicates that
      ASCOT captures aspects of well-being that are highly valued by service
      users and policy-makers alike.
    "
4625,"
    University of Oxford
    ",Anthropology and Development Studies,"
    Pioneering longitudinal research leads to greater understanding of
      childhood poverty among policy-makers
    ","
    Young Lives is identifying major influences on children's development,
      from infancy to adulthood, by carrying out a pioneering longitudinal study
      across four developing countries over 15 years. Young Lives gathers and
      analyses data on how childhood is changing in diverse communities,
      especially through the impact of economic, cultural and policy shifts, by
      studying two age cohorts in each country. UNICEF, the World Bank, Plan
      International, and Save the Children International, among others, ____are
      using Young Lives research to design childhood poverty-reduction policies
      in the Post-2015 Development Agenda. The research also underpins the
      re-visioning of global child protection work by UNICEF, Save the Children
      Canada, and World Vision UK.
    "
4645,"
    Plymouth University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Advancing methods for prioritising health research
    ","
    This case study highlights a body of research around health Research
      Priority Setting (RPS) that assists policy makers in effectively targeting
      research that has the greatest potential health benefit. Empirical
      research on RPS led to organizational changes, and new policies within the
      Cochrane Collaboration along with new training resources and new RPS
      exercises. A research gap on inequalities in the risk of oral cancer in
      the English South Asian population led to an evidence synthesis exercise
      being carried out by the National Institute for Health and Care Excellence
      (NICE) and the ____formulation of a new public health guideline.
    "
4652,"
    Plymouth University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Genetic counselling: developing European wide standards of professional
      competence
    ","
    This case study demonstrates the impact of research focussed on
      establishing a set of European core competences in genetics for health
      professionals. Prior to the research, there were clear inequities and
      inconsistency of practice regarding genetic health services for patients
      across Europe, in particular in the fields of genetic counselling and
      genetic nursing. The core competences for genetic nurses and counsellors
      are now being used as the foundation for genetic nursing and genetic
      counselling profession in Europe, to ____improve standards of patient care.
      Standards of practice and education, curricula for Master's degree
      training programmes and a formal European registration process for genetic
      counsellors and nurses are all based on the outcomes of the initial study
      at Plymouth. These measures have resulted in professionalization of
      genetic nursing and genetic counselling in the European context and
      consequently improved consistency of care.
    "
4663,"
    Plymouth University
    ",Business and Management Studies,"
    Regional economic impacts: input-output models and spatial econometrics
    ","
    This impact case study is based on research concerning the estimation of
      regional economic impacts through input-output models and spatial
      econometrics. The research resulted in the distribution of a free
      modelling software package to decision-makers throughout the South West
      region and ____has had policy impacts in terms of the influence of advice,
      data, and reports provided to a range of organisations including the South
      West Regional Development Agency, Plymouth City Council, and several other
      local councils and private sector decision-makers.
    "
4667,"
    Plymouth University
    ",Social Work and Social Policy,"
    Research into the nature of public injecting (illicit drugs) and the risk
      environment
    ","
    This case study concerns research around public injecting and risks and
      has been led by Prof Coomber in partnership with Drug and Alcohol Action
      Teams (DAATs) in Plymouth, Barking and Dagenham, and Southend. The
      exploration and analysis of public injecting activity ____has impacted upon
      the policy and practice of all three DAATs. The research ____has led to the
      improved management of an environmental risk and hazard, impacted upon the
      planning of drug support services, and led to a change in strategy amongst
      drug agencies in the three locations."
4669,"
    Plymouth University
    ",Education,"
    Selection of doctors to specialty training on the basis of aptitude
    ","
    This case study demonstrates how research conducted at Plymouth
      University on the recruitment
      and selection methodologies for postgraduate speciality training in
      medicine has impacted on the
      development and implementation of the recruitment process for core
      training and specialty training
      posts in medical related fields throughout the UK. The impacts ____take the
      form of a new and
      improved shortlisting methodology and model for selection centre
      recruitment at a national level. It
      overcomes the problems revealed with recruitment to medical training
      during the introduction of the
      Modernising Medical Careers (MMC) initiative and the Medical Training
      Application Service
      (MTAS) debacle in 2007-08.
    "
4670,"
    Plymouth University
    ",Education,"
    Outdoor and experiential learning: benefits for children and schools
    ","
    This case study concerns a body of research conducted at Plymouth
      University on outdoor and experiential learning. The research ____has impacted
      upon children and schools through developing outdoor learning approaches
      and schools making changes to the school physical environment to support
      learning. It ____has also impacted upon practitioners and their practices and
      influenced the review of outdoor learning curriculum in Victoria
      (Australia). It has led to a successful Lottery bid, led by the Silvanus
      Trust, which is having a direct impact on practitioners and their approach
      to understanding outdoor learning and well-being.
    "
4677,"
    Plymouth University
    ",History,"
    Political History, Public Policy and the Olympic Legacy
    ","
    This case study demonstrates the impact generated through research into
      twentieth-century political and social history on public discourse and
      policy-making in the UK. The case study focuses on the work of Professor
      Kevin Jefferys, whose high profile research into twentieth-century
      political leaders, UK politics and its linkage with public policy, ____has
      informed Government and stakeholders of the 2012 Olympics in
      decision-making processes relating to its post-2012 legacy, through his
      invitation by History and Policy at King's College, University of London
      to present his research to the Department of Culture, Media and Sport,
      Sport England, and 10 Downing Street.
    "
4678,"
    Plymouth University
    ","Art and Design: History, Practice and Theory","
    Madness and Modernity: Mental Illness, Psychiatry and the Visual Arts in
      Vienna 1900
    ","
    From 2004 to the present, Gemma Blackshaw (Reader in Art History at
      Plymouth, 2002-present)
      has worked on the relationship between mental illness, psychiatry, and the
      visual arts in Vienna
      1900. Through exhibition, a non-specialist book, film, and associated
      social media platforms, this
      work has reached and responded to audiences outside academia, including
      mental health
      communities. It has generated new knowledge, interpretations and
      approaches to the history and
      study of mental illness. It has encouraged international public discourse
      on how society used to
      engage with the mentally ill, and how we continue to engage with this
      community 100 years on.
    "
4679,"
    University of Kent
    ",Social Work and Social Policy,"
    Behaving badly? Managing challenging behaviour among people with
      intellectual and developmental disabilities (IDD)
    ","
    This research on those with Intellectual and Developmental Disabilities
      (IDD) who exhibit challenging and/or criminal behaviour ____has impacted on
      public policy, professional practice, and carers' and service users'
      quality of life, both in the UK and internationally (e.g. Japan, New
      Zealand). The impact has been maximised by the researchers serving on
      government advisory committees, writing government policy documents and
      delivering training to service providers and their staff. The research was
      also fundamental in establishing the need for networks to support service
      users and their families, leading to the formation of the Challenging
      Behaviour Foundation.
    "
4680,"
    Plymouth University
    ","Art and Design: History, Practice and Theory","
    Operating Systems: Harvesting Data
    ","
    i-DAT has developed an open infrastructure for `harvesting' and
      visualising data to support collaborative interdisciplinary projects in
      environmental, social and cultural contexts. Framed as a series of
      `Operating Systems' this research ____contributes to the strategic activities
      of not-for-profit, public, private and community sectors, including Arts
      Council England, Plymouth City Council, UNESCO Biosphere and World
      Heritage Sites. Through i-DAT's National Portfolio Organisation status,
      this research delivers significant audience numbers and new work and
      contributes to and can be measured against impacts in relation to civil
      society, cultural life, policy making, public services and, to a lesser
      extent, economic prosperity.
    "
4682,"
    Plymouth University
    ","Music, Drama, Dance and Performing Arts","
    Development of Brain-Computer Music Interfacing (BCMI) for Severe
      Disability and Creativity
    ","
    This research developed brain-computer interfacing technology, which has
      enabled people with severe physical disability to interact with and create
      music. Professor Eduardo Miranda and his team built and trialled a
      proof-of-concept device for patients suffering from almost total paralysis
      of the body. Locally, this has significantly ____improved the quality of life
      for one individual and changed the attitudes of hospital staff. More
      widely, it is informing the further development of assistive BCMI
      technology and contributing to on-going and emergent impact in musical
      creativity that engenders new ways of thinking about the potential
      relationships between science, technology and music.
    "
4683,"
    University of Kent
    ",Social Work and Social Policy,"
    Empowering People with Intellectual and Developmental Disabilities: the
      importance of community living and Active Support.
    ","
    This research on deinstitutionalisation and high quality community-based
      services ____has helped
      transform the political and public debate, informing the management of
      services and improving the
      quality of life of people with intellectual and developmental disabilities
      (IDD) by changing the
      practices and attitudes of staff. It ____has led to people leading more active
      and fulfilling lives and
      experiencing more choice and control. These impacts have reached far
      beyond the UK, extending
      to Ireland, Central and Eastern Europe, Australia and elsewhere.
    "
4872,"
    University of Oxford
    ",Philosophy,"
    Challenging Perceptions of the Ethics of Human Enhancement
    ","
    For over a decade, Professor Julian Savulescu has produced a body of work
      on the enhancement of human beings and its ethical implications, including
      work on the ethics of genetic selection and on the ethics of using
      technology to enhance human capacities. This work ____has had an influence on
      public policy, in particular by influencing government bodies in Norway,
      the United States, and Australia, and on business and industry. It has
      also been used in teaching material for secondary school pupils by the
      Wellcome Collection. Furthermore, through the many prestigious public
      lectures that Professor Savulescu has given and the seminars that he has
      led, through the television and radio interviews that he has given, and
      through the extensive discussion of his ideas in the press and online, he
      has both contributed to the public awareness of and stimulated lively
      debate around such issues as what distinguishes the use of doping in sport
      from seemingly acceptable forms of enhancement, and what if anything is
      wrong with designer babies.
    "
4876,"
    University of Oxford
    ",English Language and Literature,"
    Informing Public Debate about Ageing
    ","
    Helen Small's research into the meanings and value ascribed to old age
      has assisted policy
      consultation groups to frame their debates about the implications of an
      ageing society, enabling
      participants to reflect critically on, and move beyond, standard
      conventions limiting discussion of
      old age (such as dramatic statistical predictions from demography, or the
      emotional appeal of the
      carer's testimony). Her work has also refreshed the terms of debate about
      ageing within
      gerontology, and has set a new interdisciplinary agenda for university
      researchers seeking to
      engage with non-academics involved in the care and support of the elderly.
    "
4880,"
    The University of Oxford
    ",Area Studies,"
    Reforming the System for Looked-After Children in Japan
    ","
    This research involved the first socio-political analysis of the Japanese
      child protection and child
      welfare system to be published in either Japanese or English. It ____has had a
      major impact on
      debates which led in Japan in 2010 and 2011 to the most significant policy
      changes in the past
      sixty-five years in relation to the care and treatment of all looked-after
      children (in Japan currently
      numbering around 40,000). It has also influenced the way in which trainee
      child protection social
      workers are educated and how research on child welfare institutions is
      undertaken.
    "
4883,"
    University of Oxford
    ","Psychology, Psychiatry and Neuroscience","
    Promoting Community Cohesion and Social Integration through
        Inter-Group Contact
    ","
    Hewstone's theory and research on intergroup contact ____has made two major
      contributions to UK policy on social integration: (1) Promoting community
      cohesion between different ethnic groups; for example, by providing a
      guiding principle for policy documents and survey items for the
      Citizenship Survey prepared by Department of Communities and Local
      Government (DCLG). (2) Providing the theoretical base and rigorous
      evidence for the Sharing Education Programme (SEP) in Northern Ireland
      (NI), which links schools across the denominational divide, and provides
      opportunities for sustained contact for pupils who typically have no such
      cross-group exchanges. SEP is already having impact in changing attitudes
      in NI and elsewhere.
    "
4886,"
    University of Oxford
    ",History,"
    The Changing Character of War in Afghanistan
    ","
    Over the last decade, understanding the character of war in Afghanistan
      has been of unparalleled importance to the British and U.S. armed forces
      and to their respective governments. Dr Rob Johnson, military historian
      and Director of The Oxford Changing Character of War Programme since 2012,
      has become a key participant in the process of preparing British officers
      serving in Afghanistan, and in developing senior commanders' understanding
      of the army's role in this conflict and the options for military
      transition. His book, articles, presentations and direct engagement in
      debate have been cited by military practitioners as a vital corrective to
      their thinking, and have done much to dispel stereotypical views and
      misunderstandings of Afghanistan and its past.
    "
4888,"
    University of Oxford
    ",History,"
    Lessons for the Labour Party from the 1930s and 1980s
    ","
    After losing the 2010 general election the Labour Party began an
      important debate about the Party's future direction, focusing in
      particular on how to advance Labour's traditional redistributive
      commitments at a time of economic austerity. Ben Jackson's research has
      informed some of the key discussions on this subject among politicians,
      advisors, commentators, and think tank researchers. His analysis of the
      ideological roots of these debates, especially of the distributive
      politics generated by economic austerity, has provoked and informed
      debate, and has contributed to the development of Labour's new direction
      under Ed Miliband.
    "
4892,"
    University of Oxford
    ",Modern Languages and Linguistics,"
    Framing and advancing social, cultural and political debates on gender,
      sexuality and identity in contemporary Greece
    ","
    Papanikolaou's regular writing in mainstream media and public speaking on
      queer theory, Cavafy,
      the history of the gay movement and cultures of sexuality in Greece, have
      aroused public interest,
      improving understanding and liberalising attitudes. In Greece a dynamic
      queer movement is
      emerging, but in the current crisis, homophobia is also increasing. His
      insights have attracted wide
      attention on the internet and social media, with gay activist groups using
      his research to further
      their debates. He ____has affected policy, notably proposals for a gay
      marriage bill and legislation
      against homophobia, by advising policymakers. Publishers have consulted
      Papanikolaou to
      expand their lists to include queer theory; and he advised the Greek
      Ministry of Culture on cultural
      and educational policy.
    "
4897,"
    University of Oxford
    ",Modern Languages and Linguistics,"
    Enabling reflective practice in obstetrics and midwifery via a historical
      prism
    ","
    Birthing tales by lay people and medical practitioners abound in all
      cultures. On her research
      website for both non-specialist and academic readers, Valerie
      Worth-Stylianou provides important
      early modern French sources in a portal accessible to a broad and
      interdisciplinary audience. This
      central information source on the history of midwifery is supplemented by
      her English translation
      (2013) of key medical texts. In 2012 she co-organised an international
      conference in Oxford for
      historians, social scientists and contemporary health practitioners to
      investigate, through the prism
      of history, societies' changing attitudes to the physical and cultural
      phenomenon of birth; this
      enabled practising midwife delegates to reflect on their current work
      methods and feed historical
      insights back into their midwifery practices.
    "
4899,"
    University of Oxford
    ","Music, Drama, Dance and Performing Arts","
    Oxford Opera: Bringing ancient and modern opera to non-academic audiences
      of all ages
    ","
    The University of Oxford is a leading centre for research in opera and
      music theatre, where the
      work of musicologists and practitioners intersects to mutual benefit, and
      outputs have attracted the
      wide attention of new audiences well beyond the academic community. Oxford
      Opera
      encompasses a broad historical range, but shares a set of common aims and
      objectives: exploring
      new and historical modes of performance and realisation; challenging
      received operatic
      conventions and performance traditions in a scholarly and creative manner;
      and disseminating
      research results to new listeners through professional collaborations.
      Young people, the general
      public, and other professional practitioners have all been beneficiaries.
    "
4901,"
    University of Oxford
    ","Music, Drama, Dance and Performing Arts","
    The social, cultural and economic impact of practice-led early music
      research
    ","
    Practice-led performance research at Oxford fosters dynamic, interactive
      relationships between
      academics and professional ensembles that are of huge cultural and
      economic impact to a wide
      variety of beneficiary groups. This case study presents two
      internationally recognised research-led
      groups - Phantasm and the Choir of New College, Oxford - whose work offers
      strong examples of
      social and cultural impact, including: a significant contribution to
      public understanding of English
      and European musical and cultural heritage; increased public access to
      previously inaccessible
      repertories; ____contribution to the local economy and tourism industry in
      Oxford; and the provision of
      unique educative opportunities for instrumentalists and singers.
    "
4913,"
The University of Oxford
",Theology and Religious Studies,"
The contribution of theology to the public discourse on the ethics of killing
","
Nigel Biggar's recent research has developed novel Christian ethical analyses of a range of
overlapping issues of public concern regarding the ethics of killing - specifically physician-assisted
suicide and war. Articles written for the press have been frequently quoted by journalists and
politicians; a wide audience has been reached through participation in radio debates and lectures
to members of the public. Collaboration with public policy bodies and colloquia involving senior civil
servants and other opinion-formers have provided further platforms in which advice is sought and
given.
"
4914,"
    University of Oxford
    ",English Language and Literature,"
    Open Educational Resources (OERs) in English: Enriching the School
      Curriculum and Supporting Transition from School to University
    ","
    Great Writers Inspire (www.writersinspire.org)
      is a JISC funded project designed by Smith, Williams and Beasley in
      collaboration with IT services to expand the Oxford English Faculty's open
      educational resources on the web. Prompted by the success of Smith's
      Approaching Shakespeare podcast lectures (2010), GWI represents a
      systematic approach to creating, gathering and curating online research
      content targeted directly at students and teachers in secondary schools,
      further education, lifelong learning, and universities. Combining
      tailor-made podcasts, curated eBooks, audio talks, video files, and
      scholarly essays, GWI and AS have brought the Faculty's research to a
      global audience of over 740,000.
    "
4937,"
    Staffordshire University
    ",Education,"
    Social Inclusion in Education
    ","
    Social Inclusion in Education has been the focus of research for a number
      of years at the Institute for Education Policy Research (IEPR). This case
      study draws on research projects on supporting non-traditional learners in
      education, and offering advice for informed decision-making in education.
      This has involved externally funded research projects, and outputs in
      refereed academic journals which have been much cited by policy-makers as
      well as the academic and practitioner community. The main impact of our
      research has been on education policy-makers, and those individuals whose
      lives have been affected by the work of policy-makers.
    "
4938,"
    Staffordshire University
    ",Education,"
    School Performance
    ","
    The education and life chances of children are closely related to the
      performance of the school they attend. Researchers at the IEPR have been
      involved in research on school performance for some years now, and the
      research outlined below has made significant conceptual and empirical
      contributions to current debates about the effects of policy changes on
      secondary school performance. This is demonstrated by citations in
      evidence to the House of Commons Select Committees and national media. The
      main impact of our research has been on policy-makers, and those
      individuals whose lives have been affected by the work of policy-makers.
    "
4942,"
    Staffordshire University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Developing a Challenge Approach to Psychological Stress (Case Study 1)
    ","
    We have developed, and applied, an approach to help athletes view the
      psychological stress of competition as a challenge (positive) rather than
      a threat (negative). This approach either has been, or is shortly to be,
      used in professional football, professional cricket, international rowing,
      international Futsal, as well as being applied to the workplace and in
      education. Central to this approach is a protocol, underpinned by theory,
      for assessing cardiovascular responses to the psychological stress of
      competition that indicates a challenge or threat state. Based on this
      protocol feedback is provided which is used to identify, and support,
      those who may need to develop a challenge approach. The impact of this
      work is disseminated through public engagement events and invited talks.
    "
4945,"
    Staffordshire University
    ","Psychology, Psychiatry and Neuroscience","
    Giving up to save face? Investigating the impact of age-appearance
        facial morphing on women's smoking.
    ","
    Clark-Carter and colleagues' research on impact of facial morphing
    technology on smoking
    cessation has given national and international smoking cessation programmes
    a strong evidence
    base for the importance of focusing on the negative effects of smoking on
    personal appearance as
    well as on health. The work has impacted internationally; the developers of
    the software utilised in
    our studies (Aprilage Inc.) have used the research as evidence for
    effectiveness of their software,
    and stop smoking websites in the USA, Canada, and Ireland cite our research
    in full. In the UK, at
    least three Stop Smoking Services ____have incorporated age-appearance morphing
    programmes into
    their practice as a direct result of workshops on our research findings, and
    the Operation
      Smokestorm smoking prevention initiative (used by more than 100
    schools across the UK) uses
    our research findings as part of the rationale for focusing on the
    appearance-damaging effects of
    smoking in the intervention.
    "
4946,"
    Staffordshire University
    ","Psychology, Psychiatry and Neuroscience","
    Transforming and empowering Cambodian women's lives
    ","
    Dr Helen Lee works with an international team on research identifying
      workplace risks and
      implementing changes to improve the well-being of a beer sellers`
      community in the developing
      country of Cambodia. Research identifying risks from HIV/AIDS (21.7%) and
      alcohol overuse (1.2
      litres of beer nightly) ____has had different forms of impact: the
      implementation of i) an educational and
      industry skills training programme &#8212; Hotel Apprenticeship Program (HAP)
      reaching 30 women who
      reported changes in awareness of health risks (how HIV/AIDS is transmitted
      and the effect of
      alcohol overuse on health) and behaviour change (zero alcohol consumption
      and no longer
      engaging in indirect sex work), ii) a peer educator outreach programme
      reaching over 10,600
      people in the Siem Reap community and iii) raising public and brewers
      awareness of beer sellers`
      health risks through websites (over 51,900 visits). In 2013 a near zero
      prevalence for HIV/AIDS in
      the target group is reported.
    "
4950,"
    Sheffield Hallam University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Capturing the Impact of Advanced Practice Roles in Nursing
    ","
    Advanced practice roles in nursing (APN roles) have been developed widely
      across a range of healthcare settings and organisational boundaries in
      response to government policy directives. A programme of research has been
      undertaken to generate robust evidence of the contribution of APN roles to
      healthcare. Research outputs include a theoretical framework to evaluate
      the impact of these roles. This framework has been used to underpin the
      development of a practical toolkit to assist practitioners to demonstrate
      their impact on patients, staff and the organisations in which they work.
      Beneficiaries include policymakers, professional organisations and NHS
      providers and individual practitioners.
    "
4961,"
    Sheffield Hallam University
    ","Architecture, Built Environment and Planning","
    Identifying and explaining outcomes from area-based regeneration
    ","
    For almost 50 years UK governments have designated area-based initiatives
      (ABIs) to moderate social, economic and environmental problems in
      disadvantaged urban areas. A research team from the Centre for Regional
      Economic and Social Research (CRESR) has been assessing and explaining
      changes associated with ABIs for more than 20 years. Insights from two
      long-standing and inter-related research themes impacted on regeneration
      policy and practice in the post 2007 period: developing innovative
      methodologies through which to monetise benefits of ABIs; and
      research scoping the scale and nature of longer-term outcomes
      associated with ABIs, including those related to the engagement of
      communities. Impact has been achieved through the dissemination of
      findings and the provision of advice and guidance to government policy
      makers, committees and politicians. Beneficiaries from this research
      include central government regeneration policy makers, lobbying
      organisations and think tanks.
    "
4963,"
    Sheffield Hallam University
    ","Architecture, Built Environment and Planning","
    Community Cohesion
    ","
    Community cohesion emerged as a distinct policy agenda in the aftermath
      of the 2001 disturbances in Bradford, Burnley and Oldham and was
      subsequently shaped by events including the London bombings of 2005 and
      large-scale migration from the EU and beyond. Researchers in the Centre
      for Regional Economic and Social Research (CRESR) have delivered a
      programme of research and evaluation exploring cohesion and the
      effectiveness of service responses. Beneficiaries have included government
      departments, devolved administrations and other local, regional and
      national public agencies. Awareness and understanding have been
      sensitised, lessons learnt have informed strategy, and guidance has
      directed improvements in practice.
    "
4965,"
    Sheffield Hallam University
    ",Business and Management Studies,"
    Democratising Co-operatives, Charities and Social Enterprises
    ","
    This case study describes the impact of research undertaken within
      Business and Management on the ownership, governance and management of
      co-operatives, charities and social enterprises. It describes how
      developing the concept of communitarian pluralism led to changes
      in the management and teaching of social enterprise locally, nationally
      and internationally. We show the impact on professionals, and lecturers
      and students in other HEIs. We provide evidence that impact activities
      changed the way organisations and consultancy bodies conceptualise social
      enterprise, and how this catalysed the formation of an association to
      advance communitarian pluralist design principles.
    "
4966,"
    Sheffield Hallam University
    ",Education,"
    National school leadership development
    ","
    Improving the quality of school leadership has been a key priority for
      both New Labour and
      Coalition education policy (see for example `The Importance of Teaching'
      White paper) since 1997.
      This led to the establishment of the National College for School
      Leadership (NC) in 2000. Between
      2004 and 2009 the NC commissioned six external evaluations of its
      programmes from Sheffield
      Hallam University (total value: &#163;276k). The studies have impacted on the range
        and quality of the
        College's provision and hence have on the quality of leadership in
      schools by enabling the NC to:
    
      
take decisions about programme continuation and development by
        assessing the
        effectiveness of programmes: their contribution to school improvement
        and value for
        money;
      
redesign specific programmes to meet system and individual
          leadership development
          needs by enabling the NC to understand factors influencing
        programme outcomes
      
take strategic decisions about its portfolio of courses and
          patterns of delivery by providing a
        range of evaluation studies that placed individual programmes within the
        broader context of
        leadership development needs and provision.
    
    "
4967,"
    Sheffield Hallam University
    ",Education,"
    Supporting young people's sexual wellbeing
    ","
    Policy-makers, professional and public audiences interested in young
      people's learning about sex and sexuality often approach discussions with
      strongly-held, sometimes conflicting views. Research at Sheffield Hallam
      University has contributed knowledge and understanding to discussions in
        national policy and practice development, and public debate,
      with impacts on education, service provision and support for young people.
      Findings have been used in Parliamentary debates, by national
      organisations lobbying for continued or improved provision in personal,
      social, health and economic education (PSHE), and in discussions about
      bullying in both lesbian, gay, bisexual and trans (LGBT)-specific, and
      also in mainstream, community contexts. This has led to increased
      understanding about homophobia and LGBT wellbeing.
    "
4973,"
    Sheffield Hallam University
    ",English Language and Literature,"
    English Popular Fiction 1900-1950 and the Reading Public
    ","
    This case study focuses on impact achieved through the public engagement
      programme of the Sheffield Hallam University (SHU) Readerships and
        Literary Cultures 1900-1950 Special Collection. This collection, of
      1000 early editions of popular fiction, was initiated by English academics
      and Information Specialists in 2009, and stemmed from research into
      popular fiction, readerships and hierarchies of literary taste. The
      programme has specifically:
    
      Preserved and opened up to the public a neglected cultural and
        material heritage
      Enhanced cultural enrichment and personal development in South
        Yorkshire
      Brought a new regional community of readers into being to read
        critically popular fiction from the past and to create a scholarly
        resource
      Created a new national and international community of such readers
        through its blog
      Initiated a programme of co-produced research with community
        readers/interviewers/ interviewees
    
    "
4975,"
    Sheffield Hallam University
    ",English Language and Literature,"
    From One Extreme to Another: Theatre in Education
    ","
    This case study focuses on impact achieved through the widely-seen
      performances by GW Theatre of Mike Harris' commissioned play about
      extremism, From One Extreme to Another, in schools in the UK. The
      project:
    
      Used drama to open up for discussion by young people and teachers a
        sensitive topic which can be difficult to approach in classes or other
        public spaces
      ____Contributed to a government policy intervening in a serious social and
        political issue
    
    "
4976,"
    Sheffield Hallam University
    ",History,"
    Women Activists' Place in Britain's History and Heritage
    ","
    This case study presents the impact of research undertaken by Professor
      Clare Midgley that places nineteenth-century British women's activism
      within its imperial and global contexts. Impact has been achieved through
      advisory roles and public engagement activities with two community groups
      involved in projects to commemorate women, and a consultancy role with
      English Heritage. As a result, Midgley's research has both played a
      crucial role in initiating and shaping local projects to commemorate
      pioneering British feminists and abolitionists of local, national and
      global significance, whilst also ____influencing national policy on preserving
      and presenting historic sites associated with women's history.
    "
4977,"
    Sheffield Hallam University
    ",History,"
    Changing Views of Twentieth-century German History at A/AS and GCSE
        Level
    ","
    This case study presents the impact of two book chapters, one book and an
      extended journal article written by Professor Matthew Stibbe on related
      aspects of gender relations, mobilisation for war, and wartime captivity
      in twentieth-century Germany. The Weimar and Nazi periods continue to be
      extremely popular subjects at all levels of the education system. Through
      sixth-form master classes, A/AS-level and GCSE day conferences, and a
      magazine article aimed at sixth-formers and their teachers, Stibbe has
      used his research findings and profile to ____influence the way that modern
      German history is understood by school students, taught by school
      teachers, and presented to school audiences by professional actors,
      examiners and textbook writers.
    "
4978,"
    Sheffield Hallam University
    ",History,"
    Life on the Land: the British countryside from 1800
    ","
    This case study presents the impact of research undertaken by Dr Nicola
      Verdon on the social and
      economic history of the British countryside in the nineteenth and
      twentieth centuries. Her findings,
      which focus on rural work patterns, family life and gender relations, are
      published in leading
      academic journals and have been used to inform and contribute to several
      public impacts: a
      museum exhibition on women's work on the land, a leading theatre
      production which centres on
      the fortunes of a Devon farming family, and several programmes on the
      broadcast media (radio
      and TV) on rural life and labour.
    "
4979,"
    Sheffield Hallam University
    ","Art and Design: History, Practice and Theory","
    My Dangerous Loverboy
    ","
    My Dangerous Loverboy (MDL) is a film and cross-platform media
      project about sex trafficking that continues to have significant and
      varied impact across domains of culture and society, public policy and
      health and welfare. Its most direct impacts have been to raise
        awareness among potential victims, change the attitudes of
        workers in frontline agencies and ____inform and shape public and
        political debate. Main beneficiaries: the UK Human Trafficking
      Centre, the Serious Organised Crime Agency (now the National Crime
      Agency), the National Working Group for Sexually Exploited Young People,
      the Personal, Social, Health and Economic Education Association (PSHE),
      Family Planning Association, and the UN Initiative to Fight Human
      Trafficking.
    "
4980,"
    Sheffield Hallam University
    ","Art and Design: History, Practice and Theory","
    War and Medicine
    ","
    The research involved the first uncensored documentation of the
      contemporary UK military pathway and has been used internationally to
      raise awareness in professional participants and the general public of the
      ethical and practical complexities of militarised healthcare.
    The impact of this research was evidenced within three distinct&gt;
      territories: 1. Informing improvements in military and civilian
        training leading to the creation of standard briefing materials for
      British deployed forces, medics and civilians to ensure early awareness of
      the `care pathway'; 2. Establishing additional reference points within contemporary
        art discourse and reflecting on the role of independent observers of
      conflict; and 3. Aiding patient recovery and understanding by
      helping individuals reconcile the profound change that they have undergone
      through injury and by establishing precedents for a format of
      comprehensive patient diaries, enabling longer-term understanding of
      traumatic experience.
    "
